fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	neg_bagging_fraction	estimulos	ganancia	iteracion_bayesiana
20231126 123028	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	484	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.13941212457086	0.708091648743386	438	38414	0.252146337982253	11298	158794499.750125	1
20231126 124805	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	916	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0936456252923911	0.31396494013006	585	17381	0.376485961219547	11516	156041593.203398	2
20231126 125737	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	230	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.154365695660018	0.397785032968569	193	18711	0.421807869359394	12499	157861022.988506	3
20231126 130736	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	193	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.255428461846225	0.577351279755604	754	32837	0.165725157277969	13366	156040718.64068	4
20231126 131302	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.276489364050279	0.860262857709819	358	9571	0.769789427244151	12205	153559202.898551	5
20231126 131847	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	354	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.20595680254442	0.0976691021885893	292	45783	0.496678980723891	11494	159894503.748126	6
20231126 132507	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.160519289765975	0.65396685506534	1020	6263	0.342337894747565	12382	156152466.766617	7
20231126 133059	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	207	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.261272439642033	0.79493567043825	708	44489	0.578034778270576	11600	159203858.070965	8
20231126 133934	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	410	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0832101263682606	0.175458364684214	543	14012	0.878787417976135	11040	159252973.513243	9
20231126 140303	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1521	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0271037795877983	0.636219083030142	888	10672	0.717650530226135	10943	158978490.254873	10
20231126 141202	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.187752118771533	0.512402400164446	491	23580	0.311953587752382	11729	157677329.835082	11
20231126 141757	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.288908624095608	0.213802619176322	668	27876	0.045416651773421	10143	153191963.518241	12
20231126 143249	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	792	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0683198497771585	0.27486386541817	118	41098	0.598316237594182	11134	160206407.796102	13
20231126 144402	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	661	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.114439749386038	0.828497355840856	368	215	0.648057678170967	12174	152131185.407296	14
20231126 144908	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	139	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0375612178730623	0.121743098408697	812	49169	0.194799194388495	12124	153613639.18041	15
20231126 145700	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.192240316063628	0.428300985986508	59	2748	0.103359945527131	10830	152817066.466767	16
20231126 150304	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.119124306357898	0.939804760301111	851	35521	0.855006096952541	12506	163035051.474263	17
20231126 151206	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.241968167637796	0.462327466973596	32	26208	0.747986251738654	11785	159128628.185907	18
20231126 151656	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0599210489354046	0.977275308399988	253	32005	0.0680518953284002	11760	153323858.070965	19
20231126 152115	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.228650333393661	0.0387275885734331	930	20215	0.526145603417253	12508	157228787.606197	20
20231126 152708	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133341844145061	0.600569358447833	1021	38768	0.899854033331637	13026	153841788.105947	21
20231126 153147	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.090963941401742	0.99703519308624	818	28901	0.799299602356688	12894	152338141.929035	22
20231126 153633	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	13	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.244573125421036	0.939747943846798	917	16906	0.790781294349761	13582	150382871.564218	23
20231126 155012	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.235361336075393	0.44925623640034	430	5961	0.595490531910595	11957	151313913.543228	24
20231126 155602	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.167606291412094	0.93055145570003	848	46327	0.827085697572717	12488	160096723.638181	25
20231126 160509	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.132958870133425	0.934644240582013	850	37501	0.50208399764676	11509	158291132.933533	26
20231126 161239	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.122840276853226	0.939362394493554	765	38181	0.899741208165317	11859	158969268.865567	27
20231126 162513	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.106462629802336	0.376369258910614	365	34404	0.731763566618823	10680	159321259.370315	28
20231126 163004	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.257989196608959	0.719078112025442	81	47249	0.590661608894152	11889	158489063.968016	29
20231126 163759	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0727335436416084	0.476478879296465	170	19739	0.693844130544986	12886	154284036.981509	30
20231126 164438	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	266	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.173525684336941	0.179318883329802	65	31321	0.161028246532922	9856	157899514.242879	31
20231126 164918	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.140399353604127	0.659839017394633	519	35445	0.134995636771769	12979	149055365.817091	32
20231126 165459	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.21394724631068	0.941382061998802	987	46893	0.313721847145046	12675	159790602.198901	33
20231126 170020	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	107	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.146654126974088	0.633823402221053	130	5205	0.6496808615129	11436	160129929.035482	34
20231126 170437	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.111325010712712	0.931997513435239	681	37878	0.850473393580806	13215	154289182.908546	35
20231126 171519	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.180146448666207	0.566486004716318	301	14212	0.788445298557531	12772	158489333.333333	36
20231126 172510	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.219541246171887	0.275398965248332	233	8825	0.0665949356631065	11344	150290230.884558	37
20231126 173413	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	520	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.122619205480645	0.180615520559826	623	38210	0.798276203780945	12814	156443829.085457	38
20231126 174528	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0239298553135548	0.5414679121533	671	17291	0.87675154031747	13078	153854199.90005	39
20231126 175328	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	33	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0832756279962348	0.505798006918306	354	25516	0.823409235780018	12376	152768279.86007	40
20231126 180006	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	237	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.272843447821121	0.159582422797171	275	5262	0.605607584024502	12360	148004977.511244	41
20231126 180429	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.207067719555471	0.78240578893422	862	25083	0.162242766673783	12434	149422909.545227	42
20231126 180833	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.173796494870249	0.737462215886808	708	42986	0.841536218366675	14500	152597971.014493	43
20231126 181804	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	618	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.24457554273852	0.113840271334533	254	6995	0.845196790398679	12548	139573815.092454	44
20231126 182243	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.110459744351728	0.942775690213245	881	34494	0.315890267513769	14738	154063885.057471	45
20231126 183421	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.121652622187972	0.678446535487287	887	10383	0.111826811388162	11585	153239392.803598	46
20231126 185127	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1018	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0714484065382086	0.276084185574814	232	39941	0.624788615010875	12759	159431807.596202	47
20231126 185844	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.141367458255423	0.940341584525483	566	34370	0.809218394209535	13847	159919995.502249	48
20231126 190620	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0854916055680115	0.941140664754855	732	35351	0.865303240770573	11980	164300039.98001	49
20231126 192055	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	788	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0677933321209616	0.274814159556322	686	39105	0.524826499470427	11082	158953096.451774	50
20231126 192751	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	382	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.205101725832887	0.937013969676509	601	45865	0.434390881712139	12426	154961788.105947	51
20231126 193429	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.265283551186305	0.278067439464236	171	42634	0.555511524631943	10884	153702914.542729	52
20231126 193937	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.224518740252239	0.928617407080744	566	49537	0.80035956464334	10929	158664676.161919	53
20231126 194424	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.255490033538659	0.942967185784701	403	49127	0.230920564995413	10858	158118497.751124	54
20231126 195121	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	554	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.209947331958406	0.0922586880368916	150	43231	0.478915884880853	12323	153889584.707646	55
20231126 195847	1370	2240231	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0328401274794406	0.271364861353406	172	38579	0.616511112662789	13261	154785493.753123	56
