fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231124 171527	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	715	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.252490708369878	0.65871893214673	751	10023	11050	145417356.321839	1
20231124 173609	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	421	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.115564130772254	0.744059879369161	673	25025	10711	158119571.714143	2
20231124 175712	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.185009493858088	0.258255272328242	432	46913	11191	156840051.474263	3
20231124 181239	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	35	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.270944953024155	0.362018736463797	809	7708	10510	145083833.083458	4
20231124 183512	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	191	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.105103890352184	0.446528180590249	338	21647	12003	157077470.764618	5
20231124 191552	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	580	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0412347724725259	0.538816707748338	262	40738	11967	163408591.204398	6
20231124 193200	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	16	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.23507433023653	0.432040602527413	525	27774	13519	149917824.587706	7
20231124 194942	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.13062636575487	0.191361096800247	986	29844	9742	158982271.864068	8
20231124 200053	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	302	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.155358159349416	0.896841175678855	28	32483	12519	159016075.462269	9
20231124 201453	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.163735166378319	0.602246884096967	515	38355	16013	145963912.543728	10
20231124 203649	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	343	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0657127080380451	0.952957973223965	615	15753	11190	158342343.828086	11
20231124 205419	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	255	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.223881420420366	0.805863393146283	935	15519	9939	150797774.612694	12
20231124 210740	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.2832175122638	0.248855823242193	137	36781	11429	156488134.432784	13
20231124 211653	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0814455942955101	0.0211922781560861	893	783	12616	155043542.228886	14
20231124 221014	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2571	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0245601200399688	0.116415573691629	207	46786	11076	160229419.290355	15
20231124 221858	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.20226859931252	0.83913636864323	110	5616	13419	147293646.676662	16
20231124 224224	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0319520801793749	0.485586759067094	215	42089	11097	155658111.444278	17
20231124 230133	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0411114463995272	0.393751618763505	253	27472	12987	155877766.616692	18
20231124 231326	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	20	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.201903792974332	0.281991641658799	943	31470	14141	152264234.382809	19
20231124 232546	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	354	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.178927169763206	0.0908222804385224	997	45810	13947	155242764.117941	20
20231124 234114	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.232947460592629	0.284483386598477	790	18883	13231	155008367.316342	21
20231124 235655	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.10510389223573	0.151620304146305	193	26700	11459	160665500.749625	22
20231125 000525	1370	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.180028201699961	0.163138733780095	104	15999	12902	151710247.876062	23
