fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231123 020615	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1572	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0965369412977537	0.937806723078631	8	46826	11108	153283180.409795	24
20231123 022210	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	887	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0488409372301912	0.208350035780359	905	36208	14196	154513277.361319	25
20231123 023427	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	636	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.103419089074161	0.197797818668074	416	33455	12459	156580943.028486	26
20231123 025036	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	965	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0818581315252924	0.191281058327506	623	26804	11746	154892242.878561	27
20231123 031724	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1750	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0458339811940716	0.231536030844019	518	39755	12099	157020883.058471	28
20231123 032545	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	233	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.122127454187456	0.242451109862477	601	29768	12488	156032735.632184	29
20231123 033909	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	675	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0401713603952558	0.204704431550176	219	37721	11057	154885417.791104	30
20231123 040007	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	983	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.102489698152462	0.326493922771397	466	19458	11261	150599766.616692	31
20231123 040851	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	274	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133789197166384	0.217417605468252	440	20511	11261	155068432.283858	32
20231123 042640	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1089	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.103734278324661	0.211060645473065	584	48080	10531	157879101.949025	33
20231123 043354	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	163	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0526568727104713	0.202655879698162	519	49849	11516	147868139.930035	34
20231123 045009	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	963	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.103602793262477	0.162366093355366	901	41747	12727	153849270.864568	35
20231123 045556	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.103822873924187	0.197958009878409	587	42749	12782	149560782.608696	36
20231123 050426	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	220	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.201903792974332	0.281991641658799	943	31470	12024	155476877.561219	37
20231123 051258	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	591	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.178927169763206	0.0908222804385224	997	45810	11201	151553459.770115	38
20231123 052109	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	171	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.232947460592629	0.284483386598477	790	18883	11076	150241633.183408	39
20231123 052630	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.10510389223573	0.151620304146305	193	26700	13592	152104255.872064	40
20231123 054157	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	993	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.051749101962298	0.992442341225212	550	33180	12966	155863707.146427	41
20231123 055041	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	113	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0517425765146989	0.356537286338669	606	35058	14918	148017718.14093	42
20231123 055848	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133789287697711	0.744194329396741	769	25063	11182	155564620.689655	43
20231123 060816	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	440	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133786426896052	0.853185460815216	724	27342	11249	154698779.110445	44
20231123 061533	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.180028201699961	0.163138733780095	104	15999	12355	152668443.278361	45
20231123 062407	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.130654513803249	0.454104854937861	380	9616	14062	141877084.457771	46
20231123 063932	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	292	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.133789218132416	0.734191855854646	871	27731	12332	153009253.373313	47
20231123 072133	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2475	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.022227421211969	0.765167285832263	538	1136	14152	154655040.47976	48
20231123 072952	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0818578864516615	0.201310071245943	506	6337	12062	155433226.386807	49
20231123 074327	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	467	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.107141248759939	0.344708014284861	267	26255	12472	156241847.076462	50
20231123 075035	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.183418566260399	0.233560087499593	960	7054	10726	144297650.174913	51
20231123 075532	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	173	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.220824357772271	0.936110178415684	84	6324	12424	142540625.687156	52
20231123 080416	458	3472487	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.284005483363825	0.326699091239972	849	17425	12864	144617467.266367	53
