fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	neg_bagging_fraction	estimulos	ganancia	iteracion_bayesiana
20231127 142907	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	150	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.165970506874532	0.470824017382981	1022	22802	0.543749498801782	12521	157916218.390805	22
20231127 143709	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.207973433294442	0.15385250676783	950	24503	0.606544561073528	12313	150848940.029985	23
20231127 144537	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	87	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.235361336075393	0.44925623640034	430	5961	0.595490531910595	12050	146541414.292854	24
20231127 145213	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.167606291412094	0.93055145570003	848	46327	0.827085697572717	11463	154674662.168916	25
20231127 150222	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	510	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0798690304860847	0.230607151452174	792	17935	0.722003637639399	10908	158226488.755622	26
20231127 150819	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.243830532096955	0.23131170632772	743	18499	0.146413962530249	11647	158686372.313843	27
20231127 151342	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.287887945471632	0.231044674793495	1021	22576	0.635931790970046	11166	152954001.999	28
20231127 151956	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	28	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.106462629802336	0.376369258910614	365	34404	0.731763566618823	12495	150126964.017991	29
20231127 152442	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	162	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.257989196608959	0.719078112025442	81	47249	0.590661608894152	11323	154134602.198901	30
20231127 153215	1370	2209543	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	FALSE	1	0.1	50	0.5	TRUE	106721	0.0727335436416084	0.476478879296465	170	19739	0.693844130544986	11475	150801216.891554	31
